NameOfStation,Line,Year,IncomingPassengers,OutgoingPassengers,global_id
Кантемировская,Замоскворецкая линия,2021,13076052,12980853,1138976142
Кантемировская,Замоскворецкая линия,2022,10361588,10218736,2363398739
Кантемировская,Замоскворецкая линия,2023,6667916,6625590,2581188784
Кантемировская,Замоскворецкая линия,2024,8046170,7991934,2664615796
Каховская,Большая кольцевая линия,2021,234347,247205,1508957898
Каховская,Большая кольцевая линия,2022,5327654,5446728,2363398709
Каховская,Большая кольцевая линия,2023,5893481,6006071,2581188743
Каховская,Большая кольцевая линия,2024,4329419,4488190,2664615762
Каширская,Большая кольцевая линия,2023,8490113,8638590,2581190189
Каширская,Большая кольцевая линия,2024,7914077,8025768,2664619890
Каширская,Замоскворецкая линия,2021,7053783,7186848,1139049541
Каширская,Замоскворецкая линия,2022,7534447,7660620,2363398738
Каширская,Замоскворецкая линия,2023,0,0,2581188783
Каширская,Замоскворецкая линия,2024,0,0,2664615794
Каширская,Каховская линия,2021,0,0,1266159646
Киевская,Арбатско-Покровская линия,2021,15120318,14085077,1139049531
Киевская,Арбатско-Покровская линия,2022,14501806,13317861,2363398672
Киевская,Арбатско-Покровская линия,2023,13793587,12651673,2581188706
Киевская,Арбатско-Покровская линия,2024,9596473,8825114,2664615738
Киевская,Кольцевая линия,2021,12463849,12249943,1139050939
Киевская,Кольцевая линия,2022,12209634,12068887,2363424466
Киевская,Кольцевая линия,2023,12201464,12018994,2581190254
Киевская,Кольцевая линия,2024,9422145,9243569,2664620059
Киевская,Филёвская линия,2021,0,0,1266159640
Киевская,Филёвская линия,2022,0,0,2363487549
Киевская,Филёвская линия,2023,0,0,2581190586
Киевская,Филёвская линия,2024,0,0,2664619921
Китай-город,Калужско-Рижская линия,2021,17622403,18162919,1139049560
Китай-город,Калужско-Рижская линия,2022,19717996,20478267,2363398766
Китай-город,Калужско-Рижская линия,2023,20788783,21543415,2581188813
Китай-город,Калужско-Рижская линия,2024,15886919,16370185,2664615817
Китай-город,Таганско-Краснопресненская линия,2021,0,0,1266159634
Китай-город,Таганско-Краснопресненская линия,2022,0,0,2363487484
Китай-город,Таганско-Краснопресненская линия,2023,0,0,2581190560
Китай-город,Таганско-Краснопресненская линия,2024,0,0,2664619919
Кленовый бульвар,Большая кольцевая линия,2023,2323309,2387689,2581188746
Кленовый бульвар,Большая кольцевая линия,2024,2035312,2102695,2664615763
Кожуховская,Люблинско-Дмитровская линия,2021,7195139,7565943,1138976401
Кожуховская,Люблинско-Дмитровская линия,2022,7596931,7954362,2363398813
Кожуховская,Люблинско-Дмитровская линия,2023,7669912,7949589,2581188860
Кожуховская,Люблинско-Дмитровская линия,2024,5302481,5509249,2664615852
Коломенская,Замоскворецкая линия,2021,15640982,15776300,1138976031
Коломенская,Замоскворецкая линия,2022,14088347,14133126,2363398737
Коломенская,Замоскворецкая линия,2023,8558929,8635824,2581188781
Коломенская,Замоскворецкая линия,2024,10300846,10370485,2664615793
Комсомольская,Кольцевая линия,2021,29241344,24593365,1139050979
Комсомольская,Кольцевая линия,2022,31936434,26431295,2363424810
Комсомольская,Кольцевая линия,2023,32841392,26796257,2581190268
Комсомольская,Кольцевая линия,2024,24514535,19711716,2664620074
Комсомольская,Сокольническая линия,2021,10287800,8479282,1139049545
Комсомольская,Сокольническая линия,2022,11054861,8985124,2363398909
Комсомольская,Сокольническая линия,2023,10415650,8482214,2581188953
Комсомольская,Сокольническая линия,2024,7174885,5762508,2664615925
Коньково,Калужско-Рижская линия,2021,8143297,8102119,1138976247
Коньково,Калужско-Рижская линия,2022,9172567,9131365,2363398778
Коньково,Калужско-Рижская линия,2023,9524440,9478210,2581188824
Коньково,Калужско-Рижская линия,2024,7146147,7131066,2664615827
Коптево,Московское центральное кольцо,2021,4891863,5144926,1138976530
Коптево,Московское центральное кольцо,2022,5306487,5552405,2363398865
Коптево,Московское центральное кольцо,2023,5484341,5734011,2581189610
Коптево,Московское центральное кольцо,2024,4036971,4208924,2664615888
Косино,Некрасовская линия,2021,1253810,1170502,1138976425
Косино,Некрасовская линия,2022,1567037,1465230,2363398870
Косино,Некрасовская линия,2023,1822979,1759371,2581188915
Косино,Некрасовская линия,2024,1400196,1356887,2664615893
Котельники,Таганско-Краснопресненская линия,2021,15735947,14094982,1138976212
Котельники,Таганско-Краснопресненская линия,2022,18498180,16451095,2363398972
Котельники,Таганско-Краснопресненская линия,2023,20081709,18046358,2581189015
Котельники,Таганско-Краснопресненская линия,2024,14957216,13560142,2664615982
Красногвардейская,Замоскворецкая линия,2021,5838636,5823114,1138976037
Красногвардейская,Замоскворецкая линия,2022,5393793,5300244,2363398744
Красногвардейская,Замоскворецкая линия,2023,4494876,4390939,2581188788
Красногвардейская,Замоскворецкая линия,2024,4803951,4646975,2664615800
Краснопресненская,Кольцевая линия,2021,6110785,6268632,1138976196
Краснопресненская,Кольцевая линия,2022,7131019,7300908,2363398783
Краснопресненская,Кольцевая линия,2023,7729277,7905587,2581188829
Краснопресненская,Кольцевая линия,2024,6077178,6145058,2664615831
Красносельская,Сокольническая линия,2021,7041235,7273247,1138976043
Красносельская,Сокольническая линия,2022,7319080,7552264,2363398908
Красносельская,Сокольническая линия,2023,7239456,7457989,2581188952
Красносельская,Сокольническая линия,2024,5308105,5450946,2664615924
Красные ворота,Сокольническая линия,2021,7170078,7402401,1138976162
Красные ворота,Сокольническая линия,2022,8000892,8285122,2363398911
Красные ворота,Сокольническая линия,2023,8362999,8636401,2581188954
Красные ворота,Сокольническая линия,2024,6180289,6383833,2664615926
Крестьянская застава,Люблинско-Дмитровская линия,2021,2265018,2384053,1139049580
Крестьянская застава,Люблинско-Дмитровская линия,2022,2590441,2725205,2363398810
Крестьянская застава,Люблинско-Дмитровская линия,2023,2805069,2940904,2581188857
Крестьянская застава,Люблинско-Дмитровская линия,2024,2050449,2155966,2664615849
Кропоткинская,Сокольническая линия,2021,7536767,7864278,1138976169
Кропоткинская,Сокольническая линия,2022,8083484,8449611,2363398916
Кропоткинская,Сокольническая линия,2023,8318588,8651393,2581188960
Кропоткинская,Сокольническая линия,2024,6464350,6725136,2664615931
